Наименование;Группа видов номеналтуры;Папка видов номенклатуры;Вид номенклатуры;фильтр;Единица хранения;Артикул;Производитель;Поставщик;Товарная категория;Субкатегория;Бренд;Линейка;Сублинейка;Канал;Ценовая группа;Единица измерения веса;Вес;Единица измерения объема;Объем;Единица измерения площади;Площадь;Единица измерения длины;Длина;Ширина;Высота;Импортный товар (учет по ГТД);Единица измерения срока годности;Срок годности;Использовать упаковки;Набор упаковок;Код ТНВЭД;База;Литражи;Цвет (готовый / колеровка);Цвет (если готовый);Степень блеска;Эффект;Стиль;Применение (что красить);Применение (материал);Расход применения, литр/кг на м2;Класс износостойкости;Материал ORAC;Текстовое описание;Ссылка на фото;Высота ворса;Материал ворса;Толщина ворса;Материал ручки;Рабочая ширина;Диаметр ядра;Совместимость/механизм крепления;Тип крепления/диаметр бюгеля/резьбы;Посадка (посадочное место);Тип кромки/лезвия;Покрытие рабочей части;Материал плюша (для валиков);Состав щетины/филамента;Клей/степень адгезии;Адгезия/сила клея (метрика);Время безопасного снятия (нед.);УФ-стойкость;Температурная стойкость;Прозрачность/цветопередача;Прочность на разрыв;Растяжимость/удлинение;Многоразовость;Влагостойкость (да/нет);Совместимость со средой;Сертификация/стандарт;Условия эксплуатации/тип поверхности
C321 Декоративный карниз из полиуретана;Товары;Декор;Карнизы;1;Шт;C321;"ООО ""Орак""";"ООО ""Орак""";Карнизы;Purotouch;Orac;;;Décor Plus;Премиум;Килограмм;9,45;;;;;см;200;;;Да;;;;;;;;;;;;Классический,;На стену ;;;;Полиуретан;Классическая модель Cotswold с линейным рисунком. Этот хит продаж можно разместить двумя способами: плоской стороной к стене или потолку.;https://drive.google.com/file/d/1uG2UnNFjBLou5MKiea9Xf2jaredaIHN8/view?usp=drive_link;;;;;;;;;;;;;;;;;;;;;;;;;;
C321F карниз гибкий полиуретан;Товары;Декор;Карнизы;1;Шт;C321F;"ООО ""Орак""";"ООО ""Орак""";Карнизы;Flex;Orac;;;Décor Plus;Премиум;Килограмм;21,254;;;;;см;200;;;Да;;;;;;;;;;;;Классический,;На стену ;;;;гибкий материал ;Гибкая версия C321. Классическая модель Cotswold с линейным рисунком. Круглые стены или изогнутые поверхности не представляют никакой трудности для технологии Flex. Примечания: Используйте DecoFix Pro или DecoFix Power. Для крепления к стене должны использоваться шурупы. Flex Radius: R min = 140 cm;https://drive.google.com/file/d/1rm44IhfgYGswmVEi_0eIgRXCDPYjg0h0/view?usp=drive_link;;;;;;;;;;;;;;;;;;;;;;;;;;
C322 карниз полиуретан;Товары;Декор;Карнизы;1;Шт;C322;"ООО ""Орак""";"ООО ""Орак""";Карнизы;Purotouch;Orac;;;Décor Plus;Премиум;Килограмм;5,817;;;;;см;200;;;Да;;;;;;;;;;;;Классический,;На стену ;;;;Полиуретан;Небольшой, но элегантный классический профиль с закругленными формами. Это идеальный карниз для деликатной отделки в любом интерьере.;https://drive.google.com/drive/folders/1-5iOPiCV_t2JF04-wROMNzid1AFBiLtJ?usp=drive_link;;;;;;;;;;;;;;;;;;;;;;;;;;
C323 Потолочный бордюр;Товары;Декор;Карнизы;1;Шт;C323;"ООО ""Орак""";"ООО ""Орак""";Карнизы;Purotouch;Orac;;;Décor Plus;Премиум;Килограмм;0,33;;;;;см;200;;;Да;;;;;;;;;;;;Классический,;На стену ;;;;Полиуретан;Этот элегантный светодиодный профиль C323 - прекрасное решение для искусного интегрирования непрямого освещения в классический интерьер.;https://drive.google.com/file/d/1LmTxwzLQxXf90lUzyEWGNUk8Fs8spq2A/view?usp=drive_link;;;;;;;;;;;;;;;;;;;;;;;;;;
C324 Потолочный бордюр карниз полиуретан;Товары;Декор;Карнизы;1;Шт;C324;"ООО ""Орак""";"ООО ""Орак""";Карнизы;Purotouch;Orac;;;Décor Plus;Премиум;Килограмм;0,47;;;;;см;200;;;Да;;;;;;;;;;;;Классический,;На стену ;;;;Полиуретан;"Наш фрагментированный карниз C324 со светодиодной опцией уникален по своему дизайну и сочетается с другими профилями нашей серии ""Autoire"" (W120, W121, P4025).";https://drive.google.com/file/d/1C9FnCXCaUYNhrQ8kd38ftcLac5ZqKrx1/view?usp=drive_link;;;;;;;;;;;;;;;;;;;;;;;;;;
C325 карниз полиуретан;Товары;Декор;Карнизы;1;Шт;C325;"ООО ""Орак""";"ООО ""Орак""";Карнизы;Purotouch;Orac;;;Décor Plus;Премиум;Килограмм;0,375;;;;;см;200;;;Да;;;;;;;;;;;;Классический,;На стену ;;;;Полиуретан;Карниз C325 является частью нашей серии фрагментированных карнизов и создает прекрасную игру света и тени. Два карниза большего размера из этой же серии - C326(F) и C327.;https://drive.google.com/file/d/1avfkYr8XfflGHLMddJC40VcIXTSFE8Ep/view?usp=drive_link;;;;;;;;;;;;;;;;;;;;;;;;;;
C325F карниз гибкий полиуретан;Товары;Декор;Карнизы;1;Шт;C325F;"ООО ""Орак""";"ООО ""Орак""";Карнизы;Flex;Orac;;;Décor Plus;Премиум;Килограмм;14;;;;;см;200;;;Да;;;;;;;;;;;;Классический,;На стену ;;;;гибкий материал ;Гибкая версия карниза C325. Является частью нашей серии фрагментированных карнизов и создает прекрасную игру света и тени. Два карниза большего размера из этой же серии - C326(F) и C327. Flex Radius: R min = 300 cm;https://drive.google.com/file/d/1Zf2dxDoix0azDNRbYooX8cr_5PyZgemE/view?usp=drive_link;;;;;;;;;;;;;;;;;;;;;;;;;;
C326 карниз полиуретан;Товары;Декор;Карнизы;1;Шт;C326;"ООО ""Орак""";"ООО ""Орак""";Карнизы;Purotouch;Orac;;;Décor Plus;Премиум;Килограмм;0,625;;;;;см;200;;;Да;;;;;;;;;;;;Классический,;На стену ;;;;Полиуретан;Карниз C326 является частью нашей серии фрагментированных карнизов и создает прекрасную игру света и тени. Карнизы меньшего и большего размеров из этой же серии - C325(F) и C327 соответственно.;https://drive.google.com/file/d/19bzo1-r34dvjQkZTNheYcTPCJag46kuU/view?usp=drive_link;;;;;;;;;;;;;;;;;;;;;;;;;;
C326F карниз гибкий полиуретан;Товары;Декор;Карнизы;1;Шт;C326F;"ООО ""Орак""";"ООО ""Орак""";Карнизы;Flex;Orac;;;Décor Plus;Премиум;Килограмм;17,754;;;;;см;200;;;Да;;;;;;;;;;;;Классический,;На стену ;;;;гибкий материал ;Гибкая версия карниза C326. Является частью нашей серии фрагментированных карнизов и создает прекрасную игру света и тени. Карнизы меньшего и большего размеров из этой же серии - C325(F) и C327 соответственно. Flex Radius: R min = 500 cm;https://drive.google.com/file/d/1Tau_2partP20ey55Li6fDlU2RYG-6me0/view?usp=drive_link;;;;;;;;;;;;;;;;;;;;;;;;;;
C327 карниз полиуретан;Товары;Декор;Карнизы;1;Шт;C327;"ООО ""Орак""";"ООО ""Орак""";Карнизы;Purotouch;Orac;;;Décor Plus;Премиум;Килограмм;0,85;;;;;см;200;;;Да;;;;;;;;;;;;Классический,;На стену ;;;;Полиуретан;Карниз C327 является частью нашей серии фрагментированных карнизов и создает прекрасную игру света и тени. Два карниза меньшего размера из этой же серии - C325(F) и C326(F).;https://drive.google.com/file/d/1tVaxrHZ-WnpBvDLQWYd6IVdkg-uaH7GF/view?usp=drive_link;;;;;;;;;;;;;;;;;;;;;;;;;;
C328 карниз;Товары;Декор;Карнизы;1;Шт;C328;"ООО ""Орак""";"ООО ""Орак""";Карнизы;Purotouch;Orac;;;Décor Plus;Премиум;Килограмм;0,82;;;;;см;200;;;Да;;;;;;;;;;;;Классический,;На стену ;;;;Полиуретан;"Профиль C328 - идеальное решение, как искусно интегрировать непрямое освещение в классический интерьер. Это может значительно улучшить атмосферу и визуально привлекательность пространства.
 
 Замечания по установке: Используйте алюминиевую ленту на внутренней стороне профиля или алюминиевый профиль для светодиодов, чтобы свет не просвечивал сквозь профиль.";https://drive.google.com/file/d/1V4fmajfNWQYCJzt6QU-K23xz6gbPpd6D/view?usp=drive_link;;;;;;;;;;;;;;;;;;;;;;;;;;
C331 карниз полиуретан;Товары;Декор;Карнизы;1;Шт;C331;"ООО ""Орак""";"ООО ""Орак""";Карнизы;Purotouch;Orac;;;Décor Plus;Премиум;Килограмм;9,75;;;;;см;200;;;Да;;;;;;;;;;;;Классический,;На стену ;;;;Полиуретан;Классический карниз, который деликатно проходит по потолку. Верх и низ модели отделаны одинаковыми линейными деталями.;https://drive.google.com/file/d/19DoZXAbriasxZxp9-QDr85gwUiNiLCJE/view?usp=drive_link;;;;;;;;;;;;;;;;;;;;;;;;;;
C332 карниз полиуретан;Товары;Декор;Карнизы;1;Шт;C332;"ООО ""Орак""";"ООО ""Орак""";Карнизы;Purotouch;Orac;;;Décor Plus;Премиум;Килограмм;18,65;;;;;см;200;;;Да;;;;;;;;;;;;Классический,;На стену ;;;;Полиуретан;Дизайн этой большой модели Cotswold позволяет использовать карниз двумя способами. Здесь мы разместили самую длинную сторону карниза на потолке, чтобы визуально расширить помещение.;https://drive.google.com/file/d/1ZKDNNqa2f1WCjh0ftousdU3ed4x9LqHJ/view?usp=drive_link;;;;;;;;;;;;;;;;;;;;;;;;;;
C333 карниз полиуретан;Товары;Декор;Карнизы;1;Шт;C333;"ООО ""Орак""";"ООО ""Орак""";Карнизы;Purotouch;Orac;;;Décor Plus;Премиум;Килограмм;11,245;;;;;см;200;;;Да;;;;;;;;;;;;Классический,;На стену ;;;;Полиуретан;Элегантный классический карниз напоминает гусиную шею.;https://drive.google.com/file/d/1mLWU5FUwiVQlV2b5dQf_LtP4W3CgYagq/view?usp=drive_link;;;;;;;;;;;;;;;;;;;;;;;;;;
C333F карниз гибкий полиуретан;Товары;Декор;Карнизы;1;Шт;C333F;"ООО ""Орак""";"ООО ""Орак""";Карнизы;Flex;Orac;;;Décor Plus;Премиум;Килограмм;23,446;;;;;см;200;;;Да;;;;;;;;;;;;Классический,;На стену ;;;;гибкий материал ;Гибкая версия C333. Элегантный классический карниз в виде гусиной шеи. Круглые стены или изогнутые поверхности не представляют никакой трудности для технологии Flex. Примечания: Используйте DecoFix Pro или DecoFix Power. Для крепления к стене должны использоваться шурупы. Flex Radius: R min = 300 cm;https://drive.google.com/file/d/1mytdXlF21IGqG3aQJ07SeZy7F9tJxHM6/view?usp=drive_link;;;;;;;;;;;;;;;;;;;;;;;;;;
C334 карниз полиуретан;Товары;Декор;Карнизы;1;Шт;C334;"ООО ""Орак""";"ООО ""Орак""";Карнизы;Purotouch;Orac;;;Décor Plus;Премиум;Килограмм;11,82;;;;;см;200;;;Да;;;;;;;;;;;;Классический,;На стену ;;;;Полиуретан;Элегантный классический карниз напоминает гусиную шею. Примечания: Используйте экстра сильный DecoFix Power крепления массивных карнизов для штор.;https://drive.google.com/file/d/1QVmM0ioIfFgkHICZLLjYhhWQZSkRCtxF/view?usp=drive_link;;;;;;;;;;;;;;;;;;;;;;;;;;
C334F карниз гибкий полиуретан;Товары;Декор;Карнизы;1;Шт;C334F;"ООО ""Орак""";"ООО ""Орак""";Карнизы;Flex;Orac;;;Décor Plus;Премиум;Килограмм;17,129;;;;;см;200;;;Да;;;;;;;;;;;;Классический,;На стену ;;;;гибкий материал ;Гибкая версия C334. Элегантный классический карниз в виде гусиной шеи. Круглые стены или изогнутые поверхности не представляют никакой трудности для технологии Flex. Примечания: Используйте DecoFix Power. Для крепления к стене должны использоваться шурупы. Flex Radius: R min = 380 cm;https://drive.google.com/file/d/15k8jOgwYoBygz7glN4M2EA6w959wajoa/view?usp=drive_link;;;;;;;;;;;;;;;;;;;;;;;;;;
C335 карниз полиуретан;Товары;Декор;Карнизы;1;Шт;C335;"ООО ""Орак""";"ООО ""Орак""";Карнизы;Purotouch;Orac;;;Décor Plus;Премиум;Килограмм;14,621;;;;;см;200;;;Да;;;;;;;;;;;;Классический,;На стену ;;;;Полиуретан;Внушительный классический карниз в виде гусиной шеи. Здесь мы разместили самую длинную сторону карниза на потолке, чтобы зрительно расширить помещение. Модель разработана дизайнером Ксавье Донком. Примечания: Используйте экстра сильный DecoFix Power для крепления к стене массивных карнизов для штор.;https://drive.google.com/file/d/1ekItZe4C0SGHQ07iTlCZkgGU9U_jlRyL/view?usp=drive_link;;;;;;;;;;;;;;;;;;;;;;;;;;
C336 карниз полиуретан;Товары;Декор;Карнизы;1;Шт;C336;"ООО ""Орак""";"ООО ""Орак""";Карнизы;Purotouch;Orac;;;Décor Plus;Премиум;Килограмм;2,338;;;;;см;200;;;Да;;;;;;;;;;;;Классический,;На стену ;;;;Полиуретан;Классический карниз XL, предназначенный для просторных помещений. Готовы ли вы громко заявить о себе? Примечания: Используйте экстра сильный DecoFix Power для крепления массивных карнизов для штор.;https://drive.google.com/file/d/1LKq6NvivbVHNYflUiSTer_vxBIxaWTAe/view?usp=drive_link;;;;;;;;;;;;;;;;;;;;;;;;;;
C338 карниз полиуретан;Товары;Декор;Карнизы;1;Шт;C338;"ООО ""Орак""";"ООО ""Орак""";Карнизы;Purotouch;Orac;;;Décor Plus;Премиум;Килограмм;1,285;;;;;см;200;;;Да;;;;;;;;;;;;Классический,;На стену ;;;;Полиуретан;Эта самая большая модель Canterbury, украшенная одинаковым линейным узором по верхнему и нижнему краям, выглядит величественно и подчеркнуто симметрично. Эта модель часто комбинируется с карнизами C338A или C338B и настенными молдингами P3020 (A). Примечания: Используйте DecoFix Power для крепления массивных карнизов для штор.;https://drive.google.com/file/d/1bSTJ6TXUiqvLUDylMH75rAjN5rUsQILx/view?usp=drive_link;;;;;;;;;;;;;;;;;;;;;;;;;;
C338A карниз полиуретан;Товары;Декор;Карнизы;1;Шт;C338A;"ООО ""Орак""";"ООО ""Орак""";Карнизы;Purotouch;Orac;;;Décor Plus;Премиум;Килограмм;1,453;;;;;см;200;;;Да;;;;;;;;;;;;Классический,орнаментальный;На стену ;;;;Полиуретан;Этот величественный карниз основан на модели C338, в дизайне которой были использованы декоративные завитки. Примечания: Используйте DecoFix Power для крепления массивных карнизов для штор.;https://drive.google.com/file/d/1Nc7fMcuOZwgKjGwVEtp3mZX4RR5GPf3M/view?usp=drive_link;;;;;;;;;;;;;;;;;;;;;;;;;;
C338B карниз полиуретан;Товары;Декор;Карнизы;1;Шт;C338B;"ООО ""Орак""";"ООО ""Орак""";Карнизы;Purotouch;Orac;;;Décor Plus;Премиум;Килограмм;1,465;;;;;см;200;;;Да;;;;;;;;;;;;Классический,орнаментальный;На стену ;;;;Полиуретан;Этот величественный карниз основан на модели C338, в дизайне которой были использованы декоративные завитки. Примечания: Используйте экстра сильный DecoFix Power для крепления массивных карнизов для штор.;https://drive.google.com/file/d/1OCEDdVWP8tKVq_UzWAA3wf04VDsS4BdC/view?usp=drive_link;;;;;;;;;;;;;;;;;;;;;;;;;;
C339 Потолочный полиуретановый карниз;Товары;Декор;Карнизы;1;Шт;C339;"ООО ""Орак""";"ООО ""Орак""";Карнизы;Purotouch;Orac;;;Décor Plus;Премиум;Килограмм;0,68;;;;;см;200;;;Да;;;;;;;;;;;;Классический,орнаментальный;На стену ;;;;Полиуретан;Классический карниз Cotswold отличается линейным дизайном, который впишется практически в любой интерьер.;https://drive.google.com/file/d/1bvgQGic5mlbIVGpA4scrfBaq-Z4zcsff/view?usp=drive_link;;;;;;;;;;;;;;;;;;;;;;;;;;
C339F карниз гибкий полиуретан;Товары;Декор;Карнизы;1;Шт;C339F;"ООО ""Орак""";"ООО ""Орак""";Карнизы;Flex;Orac;;;Décor Plus;Премиум;Килограмм;1,292;;;;;см;200;;;Да;;;;;;;;;;;;Классический,;На стену ;;;;гибкий материал ;Гибкая версия C339. Классический карниз Cotswold впишется практически в любой интерьер. Круглые стены или изогнутые поверхности не представляют никакой трудности для технологии Flex. Примечания: Используйте DecoFix Pro или DecoFix Power. Для крепления к стене должны использоваться шурупы. Flex Radius: R min = 380 cm;https://drive.google.com/file/d/12f0hjmD9r-ZnDrwkw4Qoq_UOFaD2BBnr/view?usp=drive_link;;;;;;;;;;;;;;;;;;;;;;;;;;
